job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
542427	qwen25-3b	prototype	D3 (debias_vl->CBDC)	negative	0.0	0.0	0.0	1001	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D3 (debias_vl->CBDC)	neutral	0.4047	0.9231	0.5627	1430	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D3 (debias_vl->CBDC)	positive	0.3897	0.0961	0.1542	1103	candidate/logs/slurm_new_542427.log
568012	bert	prototype	B1 (raw)	negative	0.5338	0.4575	0.4927	1001	candidate/logs/slurm_new_568012.log
568012	bert	prototype	B1 (raw)	neutral	0.5123	0.058	0.1043	1430	candidate/logs/slurm_new_568012.log
568012	bert	prototype	B1 (raw)	positive	0.3874	0.883	0.5386	1103	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D1 (debias_vl)	negative	0.4454	0.5784	0.5033	1001	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D1 (debias_vl)	neutral	0.4655	0.5049	0.4844	1430	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D1 (debias_vl)	positive	0.5842	0.3617	0.4468	1103	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D2 (CBDC)	negative	0.5474	0.4555	0.4973	1001	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D2 (CBDC)	neutral	0.4862	0.2587	0.3377	1430	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D2 (CBDC)	positive	0.4284	0.7534	0.5462	1103	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D2.5 (CBDC no-label-select)	negative	0.6547	0.1459	0.2386	1001	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D2.5 (CBDC no-label-select)	neutral	0.437	0.7028	0.5389	1430	candidate/logs/slurm_new_568012.log
568012	bert	prototype	D2.5 (CBDC no-label-select)	positive	0.4629	0.4243	0.4428	1103	candidate/logs/slurm_new_568012.log
